input_text,target_text,text_len,summary_len
"I juni målte vejrstationen ved Græsbjerg 47,2 mm nedbør. Hele 18,6 mm faldt den 12. juni mellem kl. 06.00 og kl. 09.30, da et smalt regnbælte stod stille over Havremarken. Morten Bæk sagde, at vårbyggen godt kunne tåle vandet, men at furerne ved Mosebækken løb over Pilebro. Kommunens klimatabel noterer, at juni i fjor kun gav 29 mm. Provst Ejvind Holm aflyste aftensangen kl. 19.00, fordi kirkestien stod under vand. Almanakken minder om, at 47,2 mm på én måned stadig er under rekorden fra 2015 på 81,4 mm.","Græsbjerg målte 47,2 mm regn i juni, heraf 18,6 mm den 12. juni mellem kl. 06.00 og kl. 09.30; aftensangen kl. 19.00 blev aflyst, og rekorden fra 2015 på 81,4 mm står stadig.",88,33
"Morten Bæk høstede 2,4 ha vårbyg på Havremarken i uge 32. Kornet blev kørt til Kærholm Mejeri, som i år også tørrer korn for tre naboer. Afregningen landede på 3.200 kr. pr. ton, lidt under det, Inge Skovgaard havde sat som sogneregnskabets tommelfingerregel. Bæk minder om, at stykket kun er 2,4 ha, så en enkelt våd plet ved Mosebækken kan slå udbyttet skævt. Han venter 6,8 t/ha, hvis august holder sig tør efter kl. 14.00.","Bæk høstede 2,4 ha vårbyg på Havremarken; afregningen var 3.200 kr. pr. ton, og han venter 6,8 t/ha.",75,18
"Sønderholt Skole åbner 1. klasse med 28 elever onsdag. Lektor Hanne Friis ringer ind kl. 8.15, og forældrene bliver bedt om at være ude af gangen inden kl. 8.40. Skolen minder om, at Skt. Hans-ugen stadig tæller som undervisning, t.eks. når 1. klasse går til Mosebækken. Inge Skovgaard kommer med æbler kl. 10.00. Der er 28 elever på listen, heraf fire fra Græsbjerg.","1. klasse åbner med 28 elever; Hanne Friis ringer ind kl. 8.15, og Inge Skovgaard kommer kl. 10.00.",63,18
"3. søndag i advent holdes højmesse i Blåhøj Kirke kl. 10.00. Provst Ejvind Holm prædiker over teksten, og børnekoret øver fra kl. 9.15. Kirkekaffen bagefter koster 12 kr. Almanakken understreger, at det er 3. søndag i advent og ikke fasten, selv om salmevalget kan minde om hinanden. Der stilles 40 stole ekstra ved Pilebro-indgangen.","Højmesse 3. søndag i advent er kl. 10.00; kaffen koster 12 kr., og koret øver fra kl. 9.15.",54,18
"Den nye cykelsti fra Græsbjerg til Nørreled er 4,8 km lang. Sognerådet har sat 1,2 mio. kr. af, heraf 0,3 mio. kr. til belysning ved Pilebro. Inge Skovgaard siger, at 4,8 km lyder kort på et kort, men at bakken ved Rævedal Skov tager tiden. Arbejdet begynder den 22. september kl. 06.30, hvis Mosebækken ikke står over sine brinker.","Cykelstien er 4,8 km og budgetteret til 1,2 mio. kr.; arbejdet begynder den 22. september kl. 06.30.",59,17
"Nattemperaturen i Græsbjerg faldt til −8,3 °C den 14. januar kl. 03.40. Vandrørene ved Sønderholt Skole holdt, men hanerne på Havremarken frøs. Morten Bæk målte −8,3 °C på sin egen stang ved laden, t.eks. da han slukkede lyset kl. 03.55. Almanakken sammenligner med −11,0 °C i 2018. Inge Skovgaard bad folk tømme slangerne inden kl. 18.00.","Græsbjerg faldt til −8,3 °C den 14. januar kl. 03.40; slangerne skulle tømmes inden kl. 18.00, og 2018-målet var −11,0 °C.",56,21
"Den nye mølle nord for Rævedal Skov yder 2,1 MW. Navhøjden er 87 m, og vingespidserne går op i 149 m. Sognerådet har fået oplyst, at 2,1 MW i middelvind dækker cirka 1.200 husstande i tørt vejr. Ole Nygaard mindede om, at brandvejen skal holde 4,0 m fri bredde, også når mejekøen holder ved Pilebro.","Møllen ved Rævedal yder 2,1 MW med en navhøjde på 87 m og vingespidser i 149 m.",55,17
"Blåhøj Bibliotek holder åbent man.–tors. 13.00–17.00 og fre. 10.00–13.00 fra den 1. oktober. Hanne Friis flytter skolebesøgene til kl. 13.15, så 1. klasse ikke rammer frokosten. Bøder er stadig 12 kr. pr. uge. Almanakken beder folk huske, at lørdag er lukket, t.eks. i efterårsferien. Inge Skovgaard læser eventyr kl. 16.00 om torsdagen.",Biblioteket har åbent man.–tors. 13.00–17.00 og fre. 10.00–13.00; torsdagens eventyr er kl. 16.00.,52,13
"Kærholm Avl tog 38 t/ha op af 6,5 ha kartofler i uge 37. Pia Kjeldsen sagde, at 38 t/ha er pænt, men at 6,5 ha er for lidt til at fylde mejeriets køl alene. Vaskevandet fra kulerne målte 2,1 m/s i Mosebækken efter skylning. Prisen blev 1,8 kr. pr. kilo til skolekøkkenet. Høsten sluttede kl. 17.45 den 14. september.","Kærholm høstede 38 t/ha på 6,5 ha; arbejdet sluttede kl. 17.45 den 14. september.",59,14
"Linje 82 kører fra Nørreled til Sønderholt Skole på 25 min. En voksenbillet koster 18 kr., og børn under 1. klasse kører gratis. Ole Nygaard klagede over, at vognen kl. 7.12 ofte er seks minutter forsinket, når mejetrafikken holder ved Pilebro. Rutetabellen slår fast, at det er linje 82 og ikke linje 28, som kun kører lørdag.","Linje 82 når skolen på 25 min.; en voksenbillet koster 18 kr., og afgangen kl. 7.12 er den, folk klager over.",57,21
